Предложение,Название произведения,Номер автора
"Второго путника звали Пек, а был он огородником.",Вперед и назад,7
Третий мог бы нагнать тоску на самого веселого клоуна.,Вперед и назад,7
"Представьте одушевленный гроб; гроб на длинных, как бы перекрученных, испитых ногах, с впавшим животом, вздернутыми плечами, впалыми, кислыми глазами и руками-граблями.",Вперед и назад,7
"Его рыжие усы висели как ножки мертвого паука, он шел размашисто и неровно, вяло шагая через воздух, как через ряд сундуков.",Вперед и назад,7
Этого звали Хин.,Вперед и назад,7
В Зурбагане он чистил на улице сапоги.,Вперед и назад,7
"Все трое шли в полусказочные, дикие места Ахуан-Скапа за золотом, скрытым в тайной жиле Эноха.",Вперед и назад,7
"Умирая, Энох передал план тайников Нэфу [в единственной известной публикации вместо ""Нэфу"" напечатано ""Эхору""].",Вперед и назад,7
"Хин, соблазнясь, истратил на снаряжение деньги из сберегательной кассы, а Пек шел как могучая рабочая сила, годная копать землю и вязать на переправах плоты.",Вперед и назад,7
"Когда стемнело, путники остановились у небольшой рощи, разожгли костер, поужинали и напились кофе.",Вперед и назад,7
"Огромная ночь пустыни сияла цветными звездами, большими, как глаза на ужас и красоту.",Вперед и назад,7
"Запах сухой травы, дыма, сырости низин, тишина, еще более тихая от сонных звуков пустыни, дающей вздохи, шелест ветвей, треск костра, короткий вскрик птицы или обманчиво близкий лепет далекого водопада, - все было полно тайной грусти, величавой, как сама природа - мать ощущений печальных.",Вперед и назад,7
Человек одинок; перед лицом пустыни это яснее.,Вперед и назад,7
Нэф развернул карту.,Вперед и назад,7
"- Вот, братцы, - сказал он, отводя ногтем часть линии не более пяти миллиметров, - вот сколько мы сделали в первый день.",Вперед и назад,7
﻿Бесценная моя Варвара Алексеевна!,Бедные люди,8
"Вчера я был счастлив, чрезмерно счастлив, донельзя счастлив!",Бедные люди,8
"Вы хоть раз в жизни, упрямица, меня послушались.",Бедные люди,8
"Вечером, часов в восемь, просыпаюсь (вы знаете, маточка, что я часочек-другой люблю поспать после должности), свечку достал, приготовляю бумаги, чиню перо, вдруг, невзначай, подымаю глаза, - право, у меня сердце вот так и запрыгало!",Бедные люди,8
"Так вы-таки поняли, чего мне хотелось, чего сердчишку моему хотелось!",Бедные люди,8
"Вижу, уголочек занавески у окна вашего загнут и прицеплен к горшку с бальзамином, точнехонько так, как я вам тогда намекал; тут же показалось мне, что и личико ваше мелькнуло у окна, что и вы ко мне из комнатки вашей смотрели, что и вы обо мне думали.",Бедные люди,8
"И как же мне досадно было, голубчик мой, что миловидного личика-то вашего я не мог разглядеть хорошенько!",Бедные люди,8
"Было время, когда и мы светло видели, маточка.",Бедные люди,8
"Не радость старость, родная моя!",Бедные люди,8
"Вот и теперь все как-то рябит в глазах; чуть поработаешь вечером, попишешь что-нибудь, наутро и глаза раскраснеются, и слезы текут так, что даже совестно перед чужими бывает.",Бедные люди,8
"Однако же в воображении моем так и засветлела ваша улыбочка, ангельчик, ваша добренькая, приветливая улыбочка; и на сердце моем было точно такое ощущение, как тогда, как я поцеловал вас, Варенька, - помните ли, ангельчик?",Бедные люди,8
"Знаете ли, голубчик мой, мне даже показалось, что вы там мне пальчиком погрозили?",Бедные люди,8
"Так ли, шалунья?",Бедные люди,8
Непременно вы это все опишите подробнее в вашем письме.,Бедные люди,8
"Ну, а какова наша придумочка насчет занавески вашей, Варенька?",Бедные люди,8
"Премило, не правда ли?",Бедные люди,8
"Сижу ли за работой, ложусь ли спать, просыпаюсь ли, уж знаю, что и вы там обо мне думаете, меня помните, да и сами-то здоровы и веселы.",Бедные люди,8
"Опустите занавеску - значит, прощайте, Макар Алексеевич, спать пора!",Бедные люди,8
"Подымете - значит, с добрым утром, Макар Алексеевич, каково-то вы спали, или: каково-то вы в вашем здоровье, Макар Алексеевич?",Бедные люди,8
"Что же до меня касается, то я, слава творцу, здорова и благополучна!",Бедные люди,8
"Видите ли, душечка моя, как это ловко придумано; и писем не нужно!",Бедные люди,8
"Хитро, не правда ли?",Бедные люди,8
А ведь придумочка-то моя!,Бедные люди,8
"А что, каков я на эти дела, Варвара Алексеевна?",Бедные люди,8
"Доложу я вам, маточка моя, Варвара Алексеевна, что спал я сию ночь добрым порядком, вопреки ожиданий, чем и весьма доволен; хотя на новых квартирах, с новоселья, и всегда как-то не спится; все что-то так, да не так!",Бедные люди,8
Встал я сегодня таким ясным соколом - любо-весело!,Бедные люди,8
"Что это какое утро сегодня хорошее, маточка!",Бедные люди,8
"У нас растворили окошко; солнышко светит, птички чирикают, воздух дышит весенними ароматами, и вся природа оживляется - ну, и остальное там все было тоже соответственное; все в порядке, по-весеннему.",Бедные люди,8
"Я даже и помечтал сегодня довольно приятно, и все об вас были мечтания мои, Варенька.",Бедные люди,8
"Сравнил я вас с птичкой небесной, на утеху людям и для украшения природы созданной.",Бедные люди,8
"﻿Приступая к описанию недавних и столь странных событий, происшедших в нашем, доселе ничем не отличавшемся городе, я принужден, по неумению моему, начать несколько издалека, а именно некоторыми биографическими подробностями о талантливом и многочтимом Степане Трофимовиче Верховенском.",Бесы,8
"Пусть эти подробности послужат лишь введением к предлагаемой хронике, а самая история, которую я намерен описывать, еще впереди.",Бесы,8
"Скажу прямо: Степан Трофимович постоянно играл между нами некоторую особую и так-сказать гражданскую роль и любил эту роль до страсти, - так даже, что, мне кажется, без нее и прожить не мог.",Бесы,8
"Не то чтоб уж я его приравнивал к актеру на театре: сохрани боже, тем более, что сам его уважаю.",Бесы,8
"Тут всё могло быть делом привычки, или, лучше сказать, беспрерывной и благородной склонности, с детских лет, к приятной мечте о красивой гражданской своей постановке.",Бесы,8
"Он, например, чрезвычайно любил свое положение ""гонимого"" и так-сказать ""ссыльного"".",Бесы,8
"В этих обоих словечках есть своего рода классический блеск, соблазнивший его раз навсегда, и, возвышая его потом постепенно в собственном мнении, в продолжение столь многих лет, довел его наконец до некоторого весьма высокого и приятного для самолюбия пьедестала.",Бесы,8
"В одном сатирическом английском романе прошлого столетия, некто Гуливер, возвратясь из страны лилипутов, где люди были всего в какие-нибудь два вершка росту, до того приучился считать себя между ними великаном, что и ходя по улицам Лондона, невольно кричал прохожим и экипажам, чтоб они пред ним сворачивали и остерегались, чтоб он как-нибудь их не раздавил, воображая, что он всё еще великан, а они маленькие.",Бесы,8
"За это смеялись над ним и бранили его, а грубые кучера даже стегали великана кнутьями; но справедливо ли?",Бесы,8
Чего не может сделать привычка?,Бесы,8
"Привычка привела почти к тому же и Степана Трофимовича, но еще в более невинном и безобидном виде, если можно так выразиться, потому что прекраснейший был человек.",Бесы,8
"Я даже так думаю, что под конец его все и везде позабыли; но уже никак ведь нельзя сказать, что и прежде совсем не знали.",Бесы,8
"Бесспорно, что и он некоторое время принадлежал к знаменитой плеяде иных прославленных деятелей нашего прошедшего поколения, и, одно время, - впрочем, всего только одну самую маленькую минуточку, - его имя многими тогдашними торопившимися людьми произносилось чуть не на ряду с именами Чаадаева, Белинского, Грановского и только что начинавшего тогда за границей Герцена.",Бесы,8
"Но деятельность Степана Трофимовича окончилась почти в ту же минуту, как и началась, - так-сказать, от ""вихря сошедшихся обстоятельств"".",Бесы,8
И что же?,Бесы,8
"Не только ""вихря"", но даже и ""обстоятельств"" совсем потом не оказалось, по крайней мере в этом случае.",Бесы,8
"Я только теперь, на днях, узнал, к величайшему моему удивлению, но зато уже в совершенной достоверности, что Степан Трофимович проживал между нами, в нашей губернии, не только не в ссылке, как принято было у нас думать, но даже и под присмотром никогда не находился.",Бесы,8
Какова же после этого сила собственного воображения!,Бесы,8
"Он искренно сам верил всю свою жизнь, что в некоторых сферах его постоянно опасаются, что шаги его беспрерывно известны и сочтены, и что каждый из трех сменившихся у нас в последние двадцать лет губернаторов, въезжая править губернией, уже привозил с собою некоторую особую и хлопотливую о нем мысль, внушенную ему свыше и прежде всего, при сдаче губернии.",Бесы,8
"Уверь кто-нибудь тогда честнейшего Степана Трофимовича неопровержимыми доказательствами, что ему вовсе нечего опасаться, и он бы непременно обиделся.",Бесы,8
"А между тем это был ведь человек умнейший и даровитейший, человек так-сказать даже науки, хотя впрочем в науке... ну, одним словом, в науке он сделал не так много и, кажется, совсем ничего.",Бесы,8
Но ведь с людьми науки у нас на Руси это сплошь да рядом случается.,Бесы,8
Он воротился из-за границы и блеснул в виде лектора на кафедре университета уже в самом конце сороковых годов.,Бесы,8
"Успел же прочесть всего только несколько лекций, и кажется, об аравитянах; успел тоже защитить блестящую диссертацию о возникавшем было гражданском и ганзеатическом значении немецкого городка Ганау, в эпоху между 1413 и 1428 годами, а вместе с тем и о тех особенных и неясных причинах, почему значение это вовсе не состоялось.",Бесы,8
Диссертация эта ловко и больно уколола тогдашних славянофилов и разом доставила ему между ними многочисленных и разъяренных врагов.,Бесы,8
"Потом, - впрочем уже после потери кафедры, - он успел напечатать (так-сказать в виде отместки и чтоб указать кого они потеряли) в ежемесячном и прогрессивном журнале, переводившем из Диккенса и проповедывавшем Жорж-Занда, начало одного глубочайшего исследования, - кажется, о причинах необычайного нравственного благородства каких-то рыцарей в какую-то эпоху, или что-то в этом роде.",Бесы,8
По крайней мере проводилась какая-то высшая и необыкновенно благородная мысль.,Бесы,8
"Говорили потом, что продолжение исследования было поспешно запрещено, и что даже прогрессивный журнал пострадал за напечатанную первую половину.",Бесы,8
"Очень могло это быть, потому что чего тогда не было?",Бесы,8
"Но в данном случае вероятнее, что ничего не было, и что автор сам поленился докончить исследование.",Бесы,8
"﻿Семен Ардальонович третьего дня мне как раз:
– Да будешь ли ты, Иван Иваныч, когда-нибудь трезв, скажи на милость?",Бобок,8
Странное требование.,Бобок,8
"Я не обижаюсь, я человек робкий; но, однако же, вот меня и сумасшедшим сделали.",Бобок,8
"Списал с меня живописец портрет из случайности: ""Все-таки ты, говорит, литератор"".",Бобок,8
"Я дался, он и выставил.",Бобок,8
"Читаю: ""Ступайте смотреть на это болезненное, близкое к помешательству лицо"".",Бобок,8
"Оно пусть, но ведь как же, однако, так прямо в печати?",Бобок,8
"В печати надо все благородное; идеалов надо, а тут...
Скажи по крайней мере косвенно, на то тебе слог.",Бобок,8
"Нет, он косвенно уже не хочет.",Бобок,8
Ныне юмор и хороший слог исчезают и ругательства заместо остроты принимаются.,Бобок,8
"Я не обижаюсь:
не бог знает какой литератор, чтобы с ума сойти.",Бобок,8
Написал повесть – не напечатали.,Бобок,8
Написал фельетон – отказали.,Бобок,8
"Этих фельетонов я много по разным редакциям носил, везде отказывали: ""Соли, говорят, у вас нет"".",Бобок,8
"– Какой же тебе соли, – спрашиваю с насмешкою.",Бобок,8
– аттической?,Бобок,8
Даже и не понимает.,Бобок,8
Перевожу больше книгопродавцам с французского.,Бобок,8
"Пишу и объявления купцам: ""Редкость!",Бобок,8
"Красненький, дескать, чай, с собственных плантаций..."" За панегирик его превосходительству покойному Петру Матвеевичу большой куш хватил.",Бобок,8
"""Искусство нравиться дамам"" по заказу книгопродавца составил.",Бобок,8
Вот этаких книжек я штук шесть в моей жизни пустил.,Бобок,8
"Вольтеровы бонмо хочу собрать, да боюсь, не пресно ли нашим покажется.",Бобок,8
"Какой теперь Вольтер; нынче дубина, а не Вольтер!",Бобок,8
Последние зубы друг другу повыбили!,Бобок,8
Ну вот и вся моя литературная деятельность.,Бобок,8
"Разве что безмездно письма по редакциям рассылаю, за моего полною подписью.",Бобок,8
"Все увещания и советы даю, критикую и путь указую.",Бобок,8
В одну редакцию на прошлой неделе сороковое письмо за два года послал; четыре рубля на одни почтовые марки истратил.,Бобок,8
"Характер у меня скверен, вот что.",Бобок,8
"﻿Начиная жизнеописание героя моего, Алексея Федоровича Карамазова, нахожусь в некотором недоумении.",Братья Карамазовы,8
"А именно: хотя я и называю Алексея Федоровича моим героем, но однако сам знаю, что человек он отнюдь не великий, а посему и предвижу неизбежные вопросы в роде таковых: чем же замечателен ваш Алексей Федорович, что вы выбрали его своим героем?",Братья Карамазовы,8
Что сделал он такого?,Братья Карамазовы,8
Кому и чем известен?,Братья Карамазовы,8
"Почему я, читатель, должен тратить время на изучение фактов его жизни?",Братья Карамазовы,8
"Последний вопрос самый роковой, ибо на него могу лишь ответить: ""Может быть увидите сами из романа"".",Братья Карамазовы,8
"Ну а коль прочтут роман и не увидят, не согласятся с примечательностью моего Алексея Федоровича?",Братья Карамазовы,8
"Говорю так, потому что с прискорбием это предвижу.",Братья Карамазовы,8
"Для меня он примечателен, но решительно сомневаюсь, успею ли это доказать читателю.",Братья Карамазовы,8
"Дело в том, что это пожалуй и деятель, но деятель неопределенный, не выяснившийся.",Братья Карамазовы,8
Впрочем странно бы требовать в такое время как наше от людей ясности.,Братья Карамазовы,8
"Одно, пожалуй, довольно несомненно: это человек странный, даже чудак.",Братья Карамазовы,8
"Но странность и чудачество скорее вредят, чем дают право на внимание, особенно когда все стремятся к тому, чтоб объединить частности и найти хоть какой-нибудь общий толк во всеобщей бестолочи.",Братья Карамазовы,8
Чудак же в большинстве случаев частность и обособление.,Братья Карамазовы,8
Не так ли?,Братья Карамазовы,8
"Вот если вы не согласитесь с этим последним тезисом, и ответите: ""Не так"" или ""не всегда так"", то я пожалуй и ободрюсь духом на счет значения героя моего Алексея Федоровича.",Братья Карамазовы,8
"Ибо не только чудак ""не всегда"" частность и обособление, а напротив бывает так, что он-то пожалуй и носит в себе иной раз сердцевину целого, а остальные люди его эпохи - все, каким-нибудь наплывным ветром, на время почему-то от него оторвались...
Я бы впрочем не пускался в эти весьма нелюбопытные и смутные объяснения и начал бы просто-за-просто без предисловия: понравится, так и так прочтут; но беда в том, что жизнеописание-то у меня одно, а романов два.",Братья Карамазовы,8
"Главный роман второй, - это деятельность моего героя уже в наше время, именно в наш теперешний текущий момент.",Братья Карамазовы,8
"Первый же роман произошел еще тринадцать лет назад, и есть почти даже и не роман, а лишь один момент из первой юности моего героя.",Братья Карамазовы,8
"Обойтись мне без этого первого романа невозможно, потому что многое во втором романе стало бы непонятным.",Братья Карамазовы,8
"Но таким образом еще усложняется первоначальное мое затруднение: если уж я, то-есть сам биограф, нахожу, что и одного-то романа может быть было бы для такого скромного и неопределенного героя излишне, то каково же являться с двумя и чем объяснить такую с моей стороны заносчивость?",Братья Карамазовы,8
"Теряясь в разрешении сих вопросов, решаюсь их обойти безо всякого разрешения.",Братья Карамазовы,8
"Разумеется, прозорливый читатель уже давно угадал, что я с самого начала к тому клонил, и только досадовал на меня, зачем я даром трачу бесплодные слова и драгоценное время.",Братья Карамазовы,8
"На это отвечу уже в точности: тратил я бесплодные слова и драгоценное время, во-первых, из вежливости, а во-вторых, из хитрости: ""все-таки, дескать, заране в чем-то предупредил"".",Братья Карамазовы,8
"Впрочем я даже рад тому, что роман мой разбился сам собою на два рассказа ""при существенном единстве целого"": познакомившись с первым рассказом, читатель уже сам определит: стоит ли ему приниматься за второй?",Братья Карамазовы,8
"Конечно никто ничем не связан, можно бросить книгу и с двух страниц первого рассказа, с тем чтоб и не раскрывать более.",Братья Карамазовы,8
"Но ведь есть такие деликатные читатели, которые непременно захотят дочитать до конца, чтоб не ошибиться в беспристрастном суждении, таковы например все русские критики.",Братья Карамазовы,8
Так вот пред такими-то все-таки сердцу легче: несмотря на всю их аккуратность и добросовестность все-таки даю им самый законный предлог бросить рассказ на первом эпизоде романа.,Братья Карамазовы,8
Ну вот и все предисловие.,Братья Карамазовы,8
"Я совершенно согласен, что оно лишнее, но так как оно уже написано, то пусть и останется.",Братья Карамазовы,8
"﻿В конце ноября, в оттепель, часов в девять утра, поезд Петербургско-Варшавской железной дороги на всех парах подходил к Петербургу.",Идиот,8
"Было так сыро и туманно, что насилу рассвело; в десяти шагах, вправо и влево от дороги, трудно было разглядеть хоть что-нибудь из окон вагона.",Идиот,8
"Из пассажиров были и возвращавшиеся из-за границы; но более были наполнены отделения для третьего класса, и все людом мелким и деловым, не из очень далека.",Идиот,8
"Все, как водится, устали, у всех отяжелели за ночь глаза, все назяблись, все лица были бледножелтые, под цвет тумана.",Идиот,8
"В одном из вагонов третьего класса, с рассвета, очутились друг против друга, у самого окна, два пассажира, - оба люди молодые, оба почти налегке, оба не щегольски одетые, оба с довольно замечательными физиономиями, и оба пожелавшие, наконец, войти друг с другом в разговор.",Идиот,8
"Если б они оба знали один про другого, чем они особенно в эту минуту замечательны, то, конечно, подивились бы, что случай так странно посадил их друг против друга в третьеклассном вагоне петербургско-варшавского поезда.",Идиот,8
"Один из них был небольшого роста, лет двадцати семи, курчавый и почти черноволосый, с серыми, маленькими, но огненными глазами.",Идиот,8
"Нос его был широки сплюснут, лицо скулистое; тонкие губы беспрерывно складывались в какую-то наглую, насмешливую и даже злую улыбку; но лоб его был высок и хорошо сформирован и скрашивал неблагородно развитую нижнюю часть лица.",Идиот,8
"Особенно приметна была в этом лице его мертвая бледность, придававшая всей физиономии молодого человека изможденный вид, несмотря на довольно крепкое сложение, и вместе с тем что-то страстное, до страдания, не гармонировавшее с нахальною и грубою улыбкой и с резким, самодовольным его взглядом.",Идиот,8
"Он был тепло одет, в широкий, мерлушечий, черный, крытый тулуп, и за ночь не зяб, тогда как сосед его принужден был вынести на своей издрогшей спине всю сладость сырой, ноябрьской русской ночи, к которой, очевидно, был не приготовлен.",Идиот,8
"На нем был довольно широкий и толстый плащ без рукавов и с огромным капюшоном, точь-в-точь как употребляют часто дорожные, по зимам, где-нибудь далеко за границей, в Швейцарии, или, например, в Северной Италии, не рассчитывая, конечно, при этом и на такие концы по дороге, как от Эйдкунена до Петербурга.",Идиот,8
"Но что годилось и вполне удовлетворяло в Италии, то оказалось не совсем пригодным в России.",Идиот,8
"Обладатель плаща с капюшоном был молодой человек, тоже лет двадцати шести или двадцати семи, роста немного повыше среднего, очень белокур, густоволос, со впалыми щеками и с легонькою, востренькою, почти совершенно белою бородкой.",Идиот,8
"Глаза его были большие, голубые и пристальные; во взгляде их было что-то тихое, но тяжелое, что-то полное того странного выражения, по которому некоторые угадывают с первого взгляда в субъекте падучую болезнь.",Идиот,8
"Лицо молодого человека было, впрочем, приятное, тонкое и сухое, но бесцветное, а теперь даже до-синя иззябшее.",Идиот,8
"В руках его болтался тощий узелок из старого, полинялого фуляра, заключавший, кажется, все его дорожное достояние.",Идиот,8
"На ногах его были толстоподошвенные башмаки с штиблетами, - все не по-русски.",Идиот,8
"Черноволосый сосед в крытом тулупе все это разглядел, частию от нечего делать, и, наконец, спросил с тою неделикатною усмешкой, в которой так бесцеремонно и небрежно выражается иногда людское удовольствие при неудачах ближнего:
- Зябко?",Идиот,8
И повел плечами.,Идиот,8
"- Очень, - ответил сосед с чрезвычайною готовностью, - и заметьте, это еще оттепель.",Идиот,8
"Что ж, если бы мороз?",Идиот,8
"Я даже не думал, что у нас так холодно.",Идиот,8
Отвык.,Идиот,8
- Из-за границы что ль?,Идиот,8
"- Да, из Швейцарии.",Идиот,8
- Фью!,Идиот,8
Эк ведь вас!..,Идиот,8
Черноволосый присвистнул и захохотал.,Идиот,8
Завязался разговор.,Идиот,8
"Готовность белокурого молодого человека в швейцарском плаще отвечать на все вопросы своего черномазого соседа была удивительная и без всякого подозрения совершенной небрежности, неуместности и праздности иных вопросов.",Идиот,8
"﻿В спектре этого рассказа основные линии - золотая, красная и лиловая, так как город полон куполов, революции и сирени.",Икс,9
"Революция и сирень - в полном цвету, откуда с известной степенью достоверности можно сделать вывод, что год 1919-й, а месяц май.",Икс,9
"Это майское утро начинается с того, что на углу Блинной и Розы Люксембург появляется процессия - по-видимому, религиозная: восемь духовных особ, хорошо известных всему городу.",Икс,9
"Но духовные особы размахивают не кадилами, а метлами, что переносит все действия из плана религии в план революции: это - просто нетрудовой элемент, отбывающий трудовую повинность на пользу народа.",Икс,9
"Вместо молитв, золотея, вздымаются к небу облака пыли, народ на тротуарах чихает, кашляет и торопится сквозь пыль.",Икс,9
"Еще только начало десятого, служба - в десять, но сегодня почему-то все вылетели спозаранок и гудят, как пчелы перед роеньем.",Икс,9
"В тот день (1919, 20/V ) все граждане в возрасте от восемнадцати до пятидесяти лет, за исключением самых нераскаянных буржуев, состояли на службе, и всех от восемнадцати до пятидесяти явно ждало сегодня что-то необычайное во всевозможных УЭПО, УЗКО, УОНО.",Икс,9
"Главное, что это было ""что-то"", что это был икс, а природа человеческая такова, что ее влекут именно иксы (этим прекрасно пользуются в алгебре и рассказах).",Икс,9
В данном случае икс произошел от раскаявшегося дьякона Индикоплева.,Икс,9
"Дьякон Индикоплев, публично покаявшийся, что он в течение десяти лет обманывал народ, естественно, пользовался теперь доверием и народа и власти.",Икс,9
"Иногда случалось даже, что он ловил рыбу с товарищем Стерлиговым из УИКа так было, например, вчера вечером.",Икс,9
"Оба глядели на поплавки, на золото-красно-лиловую воду и беседовали о головлях, о вождях революции, о свекольной патоке, о сбежавшем эсере Перепечко, об акулах империализма.",Икс,9
"Здесь - совершенно некстати - дьякон заметил, конфузливо прикрывшись ладонью:
- А у вас, товарищ Стерлигов, извиняюсь... штаники сзади... не то чтобы это самое, а вроде как бы...
Товарищ Стерлигов только почесал шубу на лице:
- Ладно, до завтра доживут!",Икс,9
"А завтра, должно быть, служащим прозодежду выдавать будут - из центра бумага пришла.",Икс,9
"Только это я вам по секрету...
Когда с двумя ершами дьякон возвращался домой, он по дороге, конечно, стукнул в окно телеграфисту Алешке и сказал ему - конечно, по секрету.",Икс,9
"А телеграфист Алешка, как вам известно, поэт, он написал уже восемь фунтов стихов - вон там, в сундуке лежат.",Икс,9
"Как поэт, он не счел себя вправе хранить тайну в душе: призвание поэта - открывать душу для всех.",Икс,9
И к утру все от восемнадцати до шестидесяти лет знали о прозодежде.,Икс,9
"Но никто не знал, что такое прозодежда.",Икс,9
"Всем ясно было одно: прозодежда есть нечто, ведущее свою родословную от фигового листа, т. е. нечто, прикрывающее наготу Адамов и украшающее наготу Ев.",Икс,9
"А общая площадь наготы тогда была значительно больше площади фиговых листьев - настолько, что, например, телеграфист Алешка давно уже ходил на службу в кальсонах, по средством олифы, сажи и сурика превращенных в серые, с красной полоской, непромокаемые брюки.",Икс,9
"Естественно поэтому, что для Алешки прозодежда воплощалась в брючный образ, но она же для красавицы Марфы расцветала в майскую розовую шляпу, для бывшего дьякона уплотнялась в сапоги - и так далее.",Икс,9
"Словом, прозодежда - это явно нечто, подобное протоплазме, первичной материи, из которой выросло все: и баобабы, и агнцы, и тигры, и шляпы, и эсеры, и сапоги, и пролетарии, и нераскаянные буржуи, раскаявшийся дьякон Индикоплев.",Икс,9
"Если вы рискнете сейчас вместе со мной нырнуть в пыльные облака на улице Люксембург, то сквозь чох и кашель вы явственно услышите то же самое, что слышу я: ""Дьякон... С дьяконом... Где дьякон?",Икс,9
"Не видали дьякона?""",Икс,9
"Только один дьякон, как опытный рыболов, мог вытащить этот зацепивший всех крючок-икс, с наживкой из прозодежды.",Икс,9
"Но дьякона здесь не было: дьякона надо было искать сейчас не в красной линии спектра, а в сиреневой, майской, любовной.",Икс,9
"Эта линия пролегает не по Розе Люксембург, а по Блинной.",Икс,9
"В самом конце Блинной, возле выкрашенного нежнейшей сиренево-розовой краской дома, стоит раскаявшийся дьякон.",Икс,9
